# mic/ojph [mic/ojph.test]
mic_decompress_c.c:22:44: warning: excess elements in array initializer [-Wexcess-initializers]
# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-Go/MG3-14                 	      10	  81767362 ns/op	 349.54 MB/s	         2.237 ratio	134926336 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state/MG3-14             	      10	  72272329 ns/op	 395.46 MB/s	         2.236 ratio	134959104 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-8state/MG3-14             	      10	  68089675 ns/op	 419.76 MB/s	         2.236 ratio	134967296 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG3-14           	      10	  46094208 ns/op	 620.06 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG3-14        	      10	  50436112 ns/op	 566.68 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG3-14           	      10	  47640775 ns/op	 599.93 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG3-14        	      10	  47461221 ns/op	 602.20 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG3-14                  	      10	  63040525 ns/op	 453.37 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG3-14               	      10	  59678321 ns/op	 478.92 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG3-14                  	      10	  90913075 ns/op	 314.38 MB/s	         2.223 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG3-14                 	      10	 163112112 ns/op	 175.22 MB/s	         2.378 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG3-14                 	      10	  42410371 ns/op	 673.92 MB/s	         2.271 ratio	163389952 B/op	      30 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG3-14               	      10	  30585508 ns/op	 934.46 MB/s	         2.271 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG3-14                 	      10	  22667042 ns/op	1260.91 MB/s	         2.308 ratio	163398587 B/op	      56 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG3-14               	      10	  16207867 ns/op	1763.40 MB/s	         2.308 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG3-14                 	      10	  12628217 ns/op	2263.26 MB/s	         2.335 ratio	165520899 B/op	     108 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG3-14               	      10	   9050658 ns/op	3157.89 MB/s	         2.335 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG4-14                 	      10	  61409429 ns/op	 443.95 MB/s	         3.474 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/MG4-14             	      10	  53757071 ns/op	 507.15 MB/s	         3.473 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-8state/MG4-14             	      10	  54356908 ns/op	 501.55 MB/s	         3.473 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG4-14           	      10	  39623354 ns/op	 688.05 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG4-14        	      10	  36802721 ns/op	 740.79 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG4-14           	      10	  34615554 ns/op	 787.59 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG4-14        	      10	  36351629 ns/op	 749.98 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG4-14                  	      10	  40596988 ns/op	 671.55 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG4-14               	      10	  41321762 ns/op	 659.77 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG4-14                  	      10	  53703642 ns/op	 507.66 MB/s	         3.506 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG4-14                 	      10	 110798088 ns/op	 246.06 MB/s	         3.705 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG4-14                 	      10	  29054329 ns/op	 938.34 MB/s	         3.517 ratio	100761968 B/op	      28 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG4-14               	      10	  21587671 ns/op	1262.90 MB/s	         3.517 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG4-14                 	      10	  16814929 ns/op	1621.36 MB/s	         3.585 ratio	104956608 B/op	      53 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG4-14               	      10	  12475292 ns/op	2185.36 MB/s	         3.585 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG4-14                 	      10	   9214850 ns/op	2958.59 MB/s	         3.618 ratio	107898208 B/op	     102 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG4-14               	      10	   6617533 ns/op	4119.81 MB/s	         3.618 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT1-14                 	      10	   1962808 ns/op	 267.11 MB/s	         2.789 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/CT1-14             	      10	   1539717 ns/op	 340.51 MB/s	         2.789 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-8state/CT1-14             	      10	   1512521 ns/op	 346.63 MB/s	         2.788 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT1-14           	      10	   1053688 ns/op	 497.57 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT1-14        	      10	   1026712 ns/op	 510.65 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CT1-14           	      10	    873662 ns/op	 600.10 MB/s	         2.788 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CT1-14        	      10	    854942 ns/op	 613.24 MB/s	         2.788 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT1-14                  	      10	   1297854 ns/op	 403.97 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT1-14               	      10	   1321158 ns/op	 396.84 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT1-14                  	      10	   1468692 ns/op	 356.98 MB/s	         2.704 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT1-14                 	      10	   2337242 ns/op	 224.32 MB/s	         3.190 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT1-14                 	      10	   1114646 ns/op	 470.36 MB/s	         2.696 ratio	 4325777 B/op	      26 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT1-14               	      10	    672738 ns/op	 779.34 MB/s	         2.696 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT1-14                 	      10	    835396 ns/op	 627.59 MB/s	         2.542 ratio	 5948096 B/op	      44 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT1-14               	      10	    445142 ns/op	1177.80 MB/s	         2.542 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT1-14                 	      10	    868433 ns/op	 603.72 MB/s	         2.294 ratio	 9941004 B/op	      84 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT1-14               	      10	    319954 ns/op	1638.64 MB/s	         2.294 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT2-14                 	      10	   2150321 ns/op	 243.82 MB/s	         3.486 ratio	 2711552 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/CT2-14             	      10	   1783071 ns/op	 294.04 MB/s	         3.485 ratio	 2711563 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-8state/CT2-14             	      10	   1572571 ns/op	 333.40 MB/s	         3.485 ratio	 2711552 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT2-14           	      10	   1089700 ns/op	 481.13 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT2-14        	      10	   1080829 ns/op	 485.08 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CT2-14           	      10	    919358 ns/op	 570.28 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CT2-14        	      10	    864871 ns/op	 606.20 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT2-14                  	      10	   1385262 ns/op	 378.48 MB/s	         3.486 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT2-14               	      10	   1418062 ns/op	 369.72 MB/s	         3.486 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT2-14                  	      10	   1531129 ns/op	 342.42 MB/s	         3.294 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT2-14                 	      10	   2475379 ns/op	 211.80 MB/s	         4.539 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT2-14                 	      10	   1134579 ns/op	 462.10 MB/s	         3.348 ratio	 4276592 B/op	      26 allocs/op
